lga_uid,lga_name,state_name,state_lga,area_sq_km,lga_lat,lga_lon,u5mr_mean,u5mr_median,live_births_sum,u5_deaths_sum,facilities_count,facilities_per_10k,avg_distance_km,urban_prop,population,population_density,access_score,towers_count,tower_density_per_km2,avg_dist_to_tower_km,towers_per_10k_pop,coverage_5km,year
275,Arewa Dandi,Kebbi,Kebbi__Arewa Dandi,4421.469632193188,12.767712206514949,4.089858632341258,120.51721471656414,103.86015706546048,0.0,0.0,83,2.8584417015649106,3.9927692719620858,0.1875,290368.0,65.67228187790772,0.5936692506459949,0,0.0,,0.0,146.06758368801172,2013
276,Etim Ekpo,Akwa Ibom,Akwa Ibom__Etim Ekpo,201.5943612714828,4.966404890321759,7.595433273561519,67.71956131197247,57.692307692307686,0.0,0.0,23,1.3602223667869182,1.0758739975877682,0.0263157894736842,169090.0,838.7635394835778,0.5717054263565892,0,0.0,,0.0,857.6846630078554,2013
277,Albasu,Kano,Kano__Albasu,526.3163038376962,11.644045567824378,9.109221169241788,108.31924971946268,105.08786848072562,0.0,0.0,35,1.173512154233026,1.4905503611432154,0.25,298250.0,566.6744461938109,0.6531007751937985,0,0.0,,0.0,452.4712753924673,2013
278,Marte,Borno,Borno__Marte,2214.134677610865,12.40553146799262,13.840788704375989,37.81009328306015,29.388083735909824,0.0,0.0,17,1.0642227105126425,4.683697796559106,0.3214285714285714,159741.0,72.14601786209617,0.9011627906976744,0,0.0,,0.0,53.10463795265866,2013
279,Kumbotso,Kano,Kano__Kumbotso,196.22703943112907,11.920867847935414,8.515682164248263,108.31924971946268,105.08786848072562,0.0,0.0,56,1.1801175481372057,0.8373240677237401,0.25,474529.0,2418.265094227996,0.5645994832041343,0,0.0,,0.0,2855.2978528137523,2013
280,Kazaure,Jigawa,Jigawa__Kazaure,423.5294011572267,12.656247323262908,8.509797812975728,139.34690867020075,142.2979797979798,0.0,0.0,26,1.0729879412662908,2.151795342458721,0.0714285714285714,242314.0,572.130292107031,0.7383720930232558,0,0.0,,0.0,541.7487469084958,2013
281,Malumfashi,Katsina,Katsina__Malumfashi,935.1198058155824,11.8524985,7.7014415,58.95915678524374,58.95915678524374,135.14215,8.245346,82,2.9586546059396794,1.5009464639536023,0.0,277153.0,296.382344033742,0.3720930232558139,0,0.0,,0.0,706.0464466538185,2013
282,Udi,Enugu,Enugu__Udi,672.0041434339936,6.6069485,7.373340499999999,51.724137931034505,51.724137931034505,39.54571299999999,1.26441,106,2.970061222488406,2.2157470661634204,1.0,356895.0,531.0904753893908,0.4496124031007752,0,0.0,,0.0,1250.0538133440823,2013
283,Dutse,Jigawa,Jigawa__Dutse,1143.3838045523453,11.769044,9.2723,137.37373737373736,137.37373737373736,91.944489,13.162331,60,1.6071744266405232,2.980463775841654,0.5,373326.0,326.5097848278196,0.727390180878553,0,0.0,,0.0,423.76670236984586,2013
284,Gwaram,Jigawa,Jigawa__Gwaram,1978.0650471033707,11.243578,9.8408964,109.08381712626996,113.20754716981128,331.82569,34.719425,75,1.858257103497488,4.044271923883664,0.0,403604.0,204.0398017198816,0.7364341085271318,0,0.0,,0.0,293.119706162537,2013
285,Zangon Kataf,Kaduna,Kaduna__Zangon Kataf,2674.331097710296,9.794228,8.377102,52.631578947368446,52.631578947368446,71.54183999999997,3.76536,66,1.3544768538375818,4.226137659298118,0.0,487273.0,182.2036921371451,0.8430232558139534,0,0.0,,0.0,229.3258473019811,2013
286,Kiyawa,Jigawa,Jigawa__Kiyawa,1057.2776254467228,11.829872266107998,9.573670016424211,139.34690867020075,142.2979797979798,0.0,0.0,43,1.669131546974408,1.0866447078922086,0.0714285714285714,257619.0,243.6625856819304,0.5187338501291989,0,0.0,,0.0,306.2291766239337,2013
287,Zaki,Bauchi,Bauchi__Zaki,2151.628986269046,12.190787,10.5063465,83.62676056338027,83.62676056338027,109.89995000000002,10.751619,67,2.2376370552696354,3.242171148969426,0.0,299423.0,139.16107373102625,0.6414728682170543,0,0.0,,0.0,249.55540721330945,2013
288,Opobo/Nkoro,Rivers,Rivers__Opobo/Nkoro,100.669539787447,4.529384615102586,7.508584135985767,62.177317652385845,63.888888888888886,0.0,0.0,8,0.3337379906469928,0.4908536496799238,0.4444444444444444,239709.0,2381.147271618804,0.562015503875969,0,0.0,,0.0,790.4365108794409,2013
289,Shira,Bauchi,Bauchi__Shira,1365.4533625714023,11.506738,9.980843,188.6792452830188,188.6792452830188,48.95313200000002,9.23644,65,1.7613744140042815,2.689872415983422,0.0,369030.0,270.26188525769044,0.678294573643411,0,0.0,,0.0,408.6800149989721,2013
290,Dass,Bauchi,Bauchi__Dass,704.8895724538509,9.99659807474208,9.488507835998025,118.8416757225794,109.99521759923482,0.0,0.0,46,3.2524464053396684,1.819493899254468,0.1666666666666666,141432.0,200.64419382407527,0.3695090439276486,0,0.0,,0.0,469.9258665325616,2013
